,City,Cloudiness,Country,Date,Lat,Lng,Humidity,Max Temp.,Wind Speed
0,aleksandrov gay,0,MZ,1569693766,-24.71,33.88,95,64.79,4.27
1,aleksandrov gay,75,AR,1569693528,-54.81,-68.31,46,53.6,10.29
2,aleksandrov gay,98,ID,1569693766,-0.02,109.34,75,81.35,5.99
3,aleksandrov gay,40,MU,1569693447,-20.41,57.7,78,73.99,13.87
4,aleksandrov gay,95,ZA,1569693536,-33.59,26.89,90,66.0,4.25
5,aleksandrov gay,18,PG,1569693623,-2.57,150.8,72,82.61,3.27
6,aleksandrov gay,1,US,1569693331,64.84,-147.72,92,37.99,2.28
7,aleksandrov gay,75,CL,1569693527,-53.16,-70.91,76,51.8,8.05
8,aleksandrov gay,1,US,1569693565,37.47,-105.87,48,64.4,3.36
9,aleksandrov gay,1,IN,1569693767,11.67,92.75,81,82.25,7.94
10,aleksandrov gay,56,KI,1569693536,3.07,172.79,72,82.61,9.24
11,aleksandrov gay,20,EC,1569693533,-0.74,-90.35,57,77.0,18.34
12,aleksandrov gay,75,US,1569693529,42.65,-73.75,64,81.0,3.49
13,aleksandrov gay,2,CV,1569693605,14.9,-24.5,80,78.29,16.89
14,aleksandrov gay,83,PL,1569693768,54.58,16.86,85,57.41,10.33
15,aleksandrov gay,75,ES,1569693768,28.66,-17.92,73,75.2,9.17
16,aleksandrov gay,100,BR,1569693768,-14.26,-43.16,28,91.25,5.91
17,aleksandrov gay,90,AU,1569693635,-33.86,121.89,87,53.6,8.05
18,aleksandrov gay,100,RU,1569693550,64.42,-173.23,99,40.67,3.29
19,aleksandrov gay,40,CA,1569693569,65.28,-126.83,74,35.6,3.36
20,aleksandrov gay,100,RU,1569693529,68.75,161.3,97,31.13,8.5
21,aleksandrov gay,100,RU,1569693565,68.05,39.51,95,40.67,7.85
22,aleksandrov gay,1,US,1569693683,39.15,-123.21,44,66.0,9.17
23,aleksandrov gay,88,RU,1569693582,73.51,80.55,83,32.57,7.4
24,aleksandrov gay,40,GY,1569693399,6.8,-58.16,74,87.8,16.11
25,aleksandrov gay,38,MG,1569693769,-25.18,46.09,84,71.81,7.38
26,aleksandrov gay,49,PF,1569693528,-23.12,-134.97,82,74.33,13.78
27,aleksandrov gay,0,EG,1569693770,28.42,30.79,32,81.89,12.77
28,aleksandrov gay,11,AR,1569693527,-38.31,-60.23,52,74.69,15.79
29,aleksandrov gay,28,BS,1569693771,26.54,-77.06,82,80.99,17.67
30,aleksandrov gay,0,AU,1569693771,-20.74,116.85,45,65.69,9.22
